duration_s,case,event,room_pre_c,room_peak_c,room_peak_delta_k,dock_pre_c,dock_peak_c,dock_peak_delta_k,input_peak_kw,cop_min,infiltration_energy_kwh,infiltration_volume_m3
12,base,1,-30.0,-29.462598357454624,0.537401642545376,5.0,5.071738904004492,0.07173890400449157,63.68517432767987,1.0588110970742175,0.027295714493294657,1.7783562778640931
12,base,2,-30.018581614008408,-29.4845811468978,0.5340004671106087,5.00642061002194,5.077111045727565,0.07069043570562528,63.731634566420375,1.0582523449118206,0.027327316930988763,1.7791046245648423
12,base,3,-30.053319313211905,-29.517940321885465,0.5353789913264393,5.009999045109914,5.080109317034601,0.07011027192468688,63.76452198786879,1.0575811221684417,0.02736870739199945,1.7801285350484846
12,base,4,-30.07763095975616,-29.541278463788117,0.5363524959680426,5.011330349444975,5.081226590744991,0.06989624130001548,63.787752399250024,1.057107049722255,0.027396136610903957,1.780815430569673
12,lpr,1,-30.0,-29.4559350264927,0.5440649735073002,5.0,5.038350854120604,0.038350854120603906,62.28135838413224,1.0584323824020094,0.02731296687015222,1.778638206970668
12,lpr,2,-29.99972997576588,-29.45941809644784,0.5403118793180397,5.008136426112818,5.043875812298412,0.035739386185594135,62.30816360210857,1.0582818019257672,0.027326266329226863,1.7789074219042051
12,lpr,3,-30.0239301594189,-29.482993172391755,0.5409369870271448,5.009869793246556,5.045206274208713,0.035336480962157246,62.33355548664739,1.057813096177019,0.027354417418263822,1.7796099601952817
12,lpr,4,-30.044282847177435,-29.502688007437275,0.54159483974016,5.010338926277155,5.045601951464339,0.035263025187183494,62.35430783246044,1.057423699919565,0.027376709567580416,1.7801732192735917
20,base,1,-30.0,-29.059345452802543,0.9406545471974574,5.0,5.126895817497794,0.1268958174977941,63.71428096316041,1.052016091964712,0.04900604989749539,3.240998339534314
20,base,2,-30.03147893871948,-29.097232898009327,0.9342460407101534,5.012645994467985,5.136693674264376,0.12404767979639075,63.79737949803163,1.0508989221946976,0.04910600112446314,3.2433163072352835
20,base,3,-30.09359017284155,-29.155588274333137,0.9380018985084142,5.018734490018873,5.141875648707066,0.12314115868819275,63.8567886245521,1.0496365820219378,0.049235467649854356,3.246493301595387
20,base,4,-30.137393725281846,-29.196757944717938,0.940635780563909,5.020985969760617,5.143862803001506,0.1228768332408885,63.89882010310766,1.0487527592226549,0.04932201440636552,3.2486419787316976
20,lpr,1,-30.0,-29.04015006146234,0.9598499385376584,5.0,5.069715331842483,0.0697153318424828,62.28135838413224,1.0404311427167037,0.049099628972147216,3.242634364548767
20,lpr,2,-29.998664743469178,-29.046592391523205,0.9520723519459722,5.014828896149289,5.079828001724955,0.06499910557566668,62.329055005176556,1.0401749841655603,0.0491416303377385,3.2434635599544084
20,lpr,3,-30.04190591491514,-29.087784591498167,0.9541213234169739,5.0179484948265225,5.082299866359159,0.06435137153263693,62.37426402593104,1.0393208044246427,0.04923000833043669,3.245647093295257
20,lpr,4,-30.078561455483587,-29.12256643980224,0.9559950156813457,5.01879441821043,5.083088258696566,0.06429384048613684,62.411069072487116,1.038597376454605,0.04930062889811828,3.2474142628088076
30,base,1,-30.0,-28.599588412821937,1.4004115871780627,5.0,5.188173834416868,0.18817383441686797,63.74877038314977,1.045951263919116,0.07505192455806446,5.046484877348702
30,base,2,-30.047004379146884,-28.657029144418114,1.3899752347287695,5.020100340489579,5.203536333975079,0.18343599348550033,63.87654669901628,1.0442164323736074,0.07528795058296434,5.051944043927794
30,base,3,-30.142172142458257,-28.744158604257247,1.3980135382010097,5.029263625635054,5.211553151490727,0.1822895258556727,63.968270780367575,1.0422418096571433,0.07558788862234266,5.059348699662749
30,base,4,-30.209498218766228,-28.80587554078352,1.4036226779827068,5.032620991176725,5.214706872003346,0.18208588082662036,64.03329307722193,1.0408449518715457,0.0757888872203112,5.06436722013548
30,lpr,1,-30.0,-28.559131878010245,1.4408681219897552,5.0,5.108189935421825,0.10818993542182476,62.28135838413224,1.026865941549964,0.07533875147091773,5.051745203401355
30,lpr,2,-29.99596084157506,-28.568913463070466,1.427047378504593,5.023115603888318,5.123956125499376,0.10084052161105816,62.35388028139004,1.0264624964048603,0.0754344333534348,5.053601122683878
30,lpr,3,-30.061371030516565,-28.629865268868617,1.4315057616479478,5.027894020154547,5.127869570597381,0.09997555044283413,62.422550013320276,1.0251355462630716,0.07563693362600347,5.0586285010179886
30,lpr,4,-30.116822396679748,-28.68129782578764,1.435524570892106,5.0291769778058,5.129220729654749,0.10004375184894876,62.478271717927285,1.0240339798654985,0.07579911673305408,5.062707411012742
