time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,5.224478627496865e-10,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,103000.0212908643,127759.07284512662,91419.01130459177,56426.694615965884,38880.351876250985,24759.05155426231,0.0,63639.403430513295,21045.193821122964,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959135982669303,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548382029549159,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.0954838202954916,0.07161287015592123,0.023870950139570375,0.09548382029549163,0.07161287015592122,0.023870950139570375,0.3770515985397405,0.3770515985397405,0.12568383154020604,0.0,5.000000000522448,5.000000000522448,5.000000000522618,5.000000000522448,5.000000000522448,5.000000000522618,24759.05155426231,21045.193821122964,0.85,1.06864145382027,0.6640179248125544,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,1.0,812.0,812.0,0.0,4.027634451161993,15415.663181390977,36434.54574958496,42257.704602238395,42257.704602238395,6.112874298809886,4321.7045927464915,0.0014959135982669303,0.85,17711.168226710437,4632.441516551485,0.3770515985397405,0.12568383154020604,0.0,,,,,,
1.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,5.224478627496865e-10,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,103000.0212908643,127759.07284512662,91419.01130459177,56426.694615965884,38880.351876250985,24759.05155426231,0.0,63639.403430513295,21045.193821122964,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959135982669303,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548382029549159,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09548382029550363,0.07161287015592724,0.02387095013957639,0.09548382029549163,0.07161287015592122,0.023870950139570375,0.3770515985397722,0.3770515985397722,0.12568383154023774,0.0,5.000000000522448,5.000000000522448,5.000000000522618,5.000000000522448,5.000000000522448,5.000000000522618,24759.05155426231,21045.193821122964,0.85,1.06864145382027,0.6640179248125544,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,1.0,15415.663181390977,1533.0,0.3770515985397722,0.12568383154023774,6.112874298809886,3.5
2.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,5.224478627496865e-10,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,103000.0212908643,127759.07284512662,91419.01130459177,56426.694615965884,38880.351876250985,24759.05155426231,0.0,63639.403430513295,21045.193821122964,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959135982669303,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548382029549159,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09548382029551339,0.07161287015593211,0.02387095013958128,0.09548382029549163,0.07161287015592122,0.023870950139570375,0.3770515985397979,0.3770515985397979,0.12568383154026347,0.0,5.000000000522448,5.000000000522448,5.000000000522618,5.000000000522448,5.000000000522448,5.000000000522618,24759.05155426231,21045.193821122964,0.85,1.06864145382027,0.6640179248125544,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,1.0,15415.663181390977,1533.0,0.3770515985397979,0.12568383154026347,6.112874298809886,3.5
3.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,5.224478627496865e-10,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,103000.0212908643,127759.07284512662,91419.01130459177,56426.694615965884,38880.351876250985,24759.05155426231,0.0,63639.403430513295,21045.193821122964,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959135982669303,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548382029549159,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09548382029552135,0.07161287015593609,0.023870950139585255,0.09548382029549163,0.07161287015592122,0.023870950139570375,0.37705159853981884,0.37705159853981884,0.1256838315402844,0.0,5.000000000522448,5.000000000522448,5.000000000522618,5.000000000522448,5.000000000522448,5.000000000522618,24759.05155426231,21045.193821122964,0.85,1.06864145382027,0.6640179248125544,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,1.0,15415.663181390977,1533.0,0.37705159853981884,0.1256838315402844,6.112874298809886,3.5
4.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,5.224478627496865e-10,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77250.0212908643,25750.0,103000.0212908643,103000.0212908643,103000.0212908643,127759.07284512662,91419.01130459177,56426.694615965884,38880.351876250985,24759.05155426231,0.0,63639.403430513295,21045.193821122964,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959135982669303,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548382029549159,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09548382029552782,0.07161287015593933,0.023870950139588495,0.09548382029549163,0.07161287015592122,0.023870950139570375,0.3770515985398359,0.3770515985398359,0.12568383154030147,0.0,5.000000000522448,5.000000000522448,5.000000000522618,5.000000000522448,5.000000000522448,5.000000000522618,24759.05155426231,21045.193821122964,0.85,1.06864145382027,0.6640179248125544,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,,1.0,15415.663181390977,1533.0,0.3770515985398359,0.12568383154030147,6.112874298809886,3.5
5.0,-29.970601922359563,4.951281034890088,34.99989943770901,24.06754234051334,4.979860332093771,-26.475551527252986,-39.978283702488966,1.4848099369864598,-0.2637122648792456,-5.023026316511339,39.99707095280527,42290.74812378903,25683.841429858672,25683.841429858672,67974.5895536477,77272.4382304336,77272.4382304336,25683.841429858672,102956.27966029228,102956.27966029228,102956.27966029228,127706.40357187719,91421.40957095327,56439.71946430561,38868.54456294185,24750.12391158491,0.0,63618.668474526756,21037.605324847173,1533.0,0.0,0.8868121573649919,2.8175308734363345,0.0014959135982669303,354337.79694338306,1554406.9397488742,4.38679405120657,1554406.9397488742,4.38679405120657,0.85,0.0954990917308448,4.027634451161993,1.2667720011482015,1.0,0.0,4.027634451162444,1.2847908720642718,1.2850917184539667,3.134856060030064,19293.756441300444,1967.4156252441398,4632.441516551485,4632.441516551485,5.544342295114051,4.951281034890088,-2.3504507148920504,7.301731749782139,3.5,3.5,1.0,0.0,0.0,0.00023414762252723888,7.904968673015172e-05,0.00015509793579708716,0.0006246777895204591,0.09549909171843604,0.07162432372390834,0.02387476799452771,0.09549876083917541,0.07162432373321488,0.023874767997629918,0.3770515985398499,0.3770515985398499,0.12568383154031548,0.0,4.960597611373373,5.020783364606871,4.7801345403966025,4.759314051632089,5.0601370583295875,3.8592190962963855,24750.12391158491,21037.605324847173,0.85,1.0684692274071264,0.6647537450539768,42257.704602238395,25750.0,0.0,5912.434383330848,-5912.434383330848,0.10507424167113337,0.525371208355667,4680.399795269898,1232.034588060949,5912.434383330848,0.05211521949748684,0.39800849117853554,1.45142487211391,1.4514952629584368,1.2663465782672088,0.0002334323654385558,0.003500620994181557,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,48170.13898556924,19837.56561666915,,,,,,,,,,,,,,,,,,3.0,15415.663181390977,1533.0,0.3770515985398499,0.12568383154031548,6.112874298809886,3.5
6.0,-29.92322152370543,4.873378401776795,34.99954260727136,24.045063193794363,4.946099939266381,-26.43627850892461,-39.943145542032994,1.4591569244854985,-0.8068722736961718,-5.06280055604152,39.98940596935493,42350.03733564952,25529.86882774775,25529.86882774775,67879.90616339727,77318.27345178768,77318.27345178768,25529.86882774775,102848.14227953543,102848.14227953543,102848.14227953543,127568.6342932793,91434.45400378355,56466.21788764517,38853.5956845982,24720.49201374387,0.0,63574.087698342075,21012.41821168229,1532.189937801994,0.0,0.8866373557276268,2.820050177830178,0.0014959135982669303,353788.69726726616,1554076.4946759597,4.392668580652671,1554076.4946759597,4.392668580652671,0.8499999999999999,0.09551419714309914,4.027634451161993,1.2668399268062784,1.0,0.0,4.027634451163048,1.2849085032206313,1.2852108638954047,3.134569069366964,19296.509364397163,1967.6963452756206,4632.441516551485,4632.441516551485,5.511104400677437,4.873378401776795,-2.415185530040743,7.288563931817538,3.4853031121918434,3.4853031121918434,0.9958008891976695,0.0,0.0,0.0002353046412470949,7.936453956297388e-05,0.000155940101684121,0.00062806972586067,0.09551419713741052,0.07163761335016568,0.023876583787244842,0.09551481228065778,0.07163761335443228,0.023876583788666868,0.37705285939728256,0.37705285939728256,0.12567049303574607,0.0,4.834610423137008,5.078961292004408,4.10303858174791,4.255928282345337,5.236043815657354,1.3410011585332882,24720.49201374387,21012.41821168229,0.85,1.0677291428150135,0.6661524981152651,42257.704602238395,25750.0,0.0,9568.447145847385,-9568.447145847385,0.17045572303540343,0.8522786151770173,7577.170880765771,1991.276265081615,9568.447145847385,0.1919525029941379,0.6456656175583464,1.4512364123179995,1.4513191604188418,1.2665775332802236,0.00023414762252723888,0.00348867780784457,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,51826.15174808578,16181.552854152615,,,,,,,,,,,,,,,,,,3.0,15416.252122879707,1532.189937801994,0.37705285939728256,0.12567049303574607,6.112874298809886,3.4853031121918434
7.0,-29.86830815475701,4.783933716969945,34.99887496778862,24.0181635710411,4.9047985345382425,-26.39097883974623,-39.903322561271466,1.4274692195273042,-1.4517525376086269,-5.111656974635323,39.97964068297794,42422.556480205516,25335.8257567023,25335.8257567023,67758.38223690781,77376.76920180302,77376.76920180302,25335.8257567023,102712.59495850532,102712.59495850532,102712.59495850532,127396.42484124335,91454.06574699844,56499.85302540036,38838.01413510898,24683.82988273804,0.0,63521.84401784702,20981.255400327333,1531.189937801994,0.0,0.8864235630337391,2.8228870335577594,0.0014959135982669303,353115.128581251,1553655.5803622962,4.399855612543668,1553655.5803622962,4.399855612543668,0.85,0.09552530571247514,4.027634451161993,1.2669348495313897,1.0,0.0,4.0276344511618065,1.2850540052590371,1.285358131951676,3.134214153396701,19300.648265763408,1968.1183957583282,4632.441516551485,4632.441516551485,5.469216538660801,4.783933716969945,-2.4985060832518045,7.282439800221749,3.461721286260816,3.461721286260816,0.9890632246459475,0.0,0.0,0.00023665220221938784,7.97227716489464e-05,0.00015692943057044143,0.000632054380966744,0.09552530571229685,0.07165355773037649,0.023871747981920367,0.09552545545598595,0.07165355773051021,0.02387174798196493,0.37705741139973387,0.37705741139973387,0.12561859850029278,0.0,4.617784357193273,5.174922322344969,2.9536694258408147,3.6599044370266824,5.46586399205745,3.979039320256561e-13,24683.82988273804,20981.255400327333,0.85,1.066694194486396,0.6678420177519804,42257.704602238395,25750.0,0.0,11147.536420119672,-11147.536420119672,0.19935185311658787,0.9967592655829396,8832.457937373376,2315.0784827462953,11147.536420119672,0.3783256684291397,0.7551206557446511,1.4509861237794905,1.4510354246989468,1.2669469465260297,0.0002353046412470949,0.0034696557712184523,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,53405.24102235807,14602.463579880328,,,,,,,,,,,,,,,,,,4.0,15417.202290135332,1531.189937801994,0.37705741139973387,0.12561859850029278,6.112874298809886,3.461721286260816
8.0,-29.811063847502815,4.691706673701724,34.99788942644937,23.99045118307697,4.861634011141339,-26.343767319622525,-39.86206117607651,1.3943374832606137,-2.094136146881226,-5.162937358240145,39.96904806579717,42499.26940390107,25126.989536908437,25126.989536908437,67626.25894080951,77439.52656569626,77439.52656569626,25126.989536908437,102566.5161026047,102566.5161026047,102566.5161026047,127212.47979033127,91476.24399377483,56535.986831977796,38822.507957552254,24645.963687726566,0.0,63468.47164527882,20949.06913456758,1530.189937801994,0.0,0.8862000009238152,2.8254459622031654,0.0014959135982669303,352409.2244721019,1553199.1029365805,4.407373573331472,1553199.1029365805,4.407373573331472,0.85,0.09552570281735132,4.027634451161993,1.2670394551986828,1.0,0.0,4.027634451160028,1.2852061669254888,1.2855121448558737,3.133843078886735,19305.328807155263,1968.5956781526072,4632.441516551485,4632.441516551485,5.424135296070323,4.691706673701724,-2.587890787869687,7.279597461571411,3.4345277703470445,3.4345277703470445,0.9812936486705841,0.0,0.0,0.00023806452969412538,8.009551938036529e-05,0.0001579690103137601,0.0006362414281556643,0.09552570280515493,0.07167025332861299,0.023855449476541942,0.09552550741942414,0.0716702533377636,0.023855449479587714,0.37706692727839697,0.37706692727839697,0.12550675650219295,0.0,4.326844293377803,5.302312091592967,1.421647458873224,3.0688012113589025,5.714356343826353,3.979039320256561e-13,24645.963687726566,20949.06913456758,0.85,1.0655094913702712,0.6696123020170823,42257.704602238395,25750.0,0.0,11690.255655278095,-11690.255655278095,0.2099886885908378,1.0499434429541892,9268.237522536221,2422.018132741873,11690.255655278095,0.5836228504214362,0.795411699207719,1.450711549148907,1.450706710542516,1.2673712615329058,0.00023665220221938784,0.0034479293442293444,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,53947.96025751649,14059.744344721905,,,,,,,,,,,,,,,,,,3.0,15418.304947242475,1530.189937801994,0.37706692727839697,0.12550675650219295,6.112874298809886,3.4345277703470445
9.0,-29.753507469070644,4.600103847903536,34.99659246523746,23.963973868545168,4.81966537574455,-26.296155287840868,-39.82043793713672,1.3623131945144717,-2.689283649131994,-5.213074130989789,39.95800923941347,42575.90392901631,24912.87975102532,24912.87975102532,67488.78368004164,77502.44514331137,77502.44514331137,24912.87975102532,102415.32489433669,102415.32489433669,102415.32489433669,127023.5799741163,91498.94168013992,56572.4004658437,38807.26801588469,24608.255079779618,0.0,63415.523095664306,20917.016817812673,1529.189937801994,0.0,0.885983506827801,2.827542679112798,0.0014959135982669303,351720.1341252146,1552723.5044733777,4.414656295793969,1552723.5044733777,4.414656295793969,0.85,0.09551068727429467,4.027634451161993,1.2671446493593979,1.0,0.0,4.02763445116178,1.285353147824635,1.2856609961370515,3.1334847220613775,19310.11897211295,1969.084139039626,4632.441516551485,4632.441516551485,5.3779156546311135,4.600103847903536,-2.677176931929919,7.277280779833454,3.4063458351560816,3.4063458351560816,0.9732416671874519,0.0,0.0,0.0002394923814306156,8.04731678470098e-05,0.00015901921358360582,0.0006404712630260179,0.0955106872712401,0.0716859343899691,0.023824752881270995,0.09551058333146514,0.07168593439226173,0.023824752882032937,0.3770823849088767,0.3770823849088767,0.12532297601733428,0.0,3.984842671936633,5.454637871310467,3.410605131648481e-13,2.523790481857816,5.968601878805714,3.410605131648481e-13,24608.255079779618,20917.016817812673,0.85,1.0642312857410747,0.6713798428310561,42257.704602238395,25750.0,0.0,11829.459344757272,-11829.459344757272,0.21347207533684534,1.067360376684227,9384.581763990687,2444.8775807665843,11829.459344757272,0.7955717575694289,0.8086063459728992,1.4504292845385103,1.4503641945527566,1.2678089660759413,0.00023806452969412538,0.003425653982561817,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,54087.163946995664,13920.540655242728,,,,,,,,,,,,,,,,,,3.0,15419.45613125931,1529.189937801994,0.3770823849088767,0.12532297601733428,6.112874298809886,3.4063458351560816
