time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,0.5602030920562697,-5.0,40.0,42257.704602238395,25750.0,25750.0,68007.7046022384,77250.0212908643,77277.52309032613,25759.167263960684,103036.69035428681,103000.0212908643,-36.66906342250877,131165.15689864274,91419.01130459177,56426.694615965884,38880.351876250985,28128.466544355942,0.0,67008.81842060693,21024.743063365822,1533.0,103036.69035428681,354655.9902153604,1549445.0244086552,4.36886748611739,1554533.227914083,4.383214356453171,0.747454292618895,0.09539103345998717,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09498651795180899,0.07123989337246024,0.023746624579348737,0.09539103345998717,0.07154328002449797,0.0238477534354892,0.37668519707160625,0.37668519707160625,0.1255616977511559,0.0,5.56020309205627,5.56020309205627,5.560203092056213,5.56020309205627,5.56020309205627,5.560203092056213,28128.466544355942,21024.743063365822,0.7474542924481272,1.0149067869748363,0.6306290067225401,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,1.0,812.0,812.0,0.0,4.027634451161993,15415.663181390977,36434.54574958496,42257.704602238395,42257.704602238395,6.275844827686256,4321.7045927464915,0.7474542924481272,18183.351738399415,4632.441516551485,0.37668519707160625,0.1255616977511559,0.0,,,,,,
1.0,-29.9973972124187,4.998722136015446,34.99930097161916,24.789350490923994,5.817898331089439,-26.41586723128438,-39.872570999991126,2.23636834996216,0.5544903241850534,-5.060828806954077,39.98013369533038,41735.89283094929,25903.343678146517,25903.343678146517,67639.2365090958,76801.81357055435,76802.43236053649,25903.552380634475,102705.98474117096,102705.15724870087,-0.8274924700963311,130797.30507479147,91300.86170643955,56234.940966862894,38962.13415508517,28091.320333620504,0.0,67053.45448870567,20996.97796665614,1533.0,102705.98474117096,353815.90232941153,1549498.143855496,4.379390902596781,1553676.8286676167,4.391201238945739,0.7474542925462407,0.09507039304969975,4.027634451161993,1.2656013569561764,1.0,0.0,4.027634451162488,1.2812858851364068,1.28158507534122,3.1434315306870078,19268.315779770917,1964.8213997410858,4632.441516551485,4632.441516551485,5.591726001417428,4.998722136015446,-2.365412527281361,7.364134663296807,3.5,3.5,1.0,0.0,0.0,0.00023349561010955306,8.000042295601878e-05,0.00015349518715353428,0.0006182225038671325,0.09507039308373298,0.07129958358542943,0.023770809498303555,0.09507039304970846,0.07129958355990565,0.023770809489794095,0.37671918272585764,0.37671918272585764,0.1255956834054073,0.0,5.594559335587348,5.349217636854519,6.3319816929409285,5.615319131139131,4.391087996543774,9.32503398841709,28091.320333620504,20996.97796665614,0.7474542924481272,1.0087360453664442,0.6224271836431513,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,4.0,15415.663181390977,1533.0,0.37671918272585764,0.1255956834054073,6.275844827686256,3.5
2.0,-29.994908104416115,4.9974277054812335,34.99874901079077,24.80091748237612,5.819563580560768,-26.413460161714436,-39.875647612474836,2.238115637892656,0.5542761428835092,-5.0634692671069415,39.98291486987269,41759.441092761415,25905.331664105543,25905.331664105543,67664.77275686697,76841.90728092288,76842.02564980215,25905.371569219624,102747.39721902176,102747.23894502842,-0.15827399333647918,130856.35950234845,91340.62492502347,56258.158736997764,38980.517986695224,28108.96228332669,0.0,67089.48027002192,21010.164406430853,1534.0,102747.39721902176,353779.47114862426,1549746.7482344038,4.380544589551237,1553796.6984312853,4.391992258302994,0.7474542885879992,0.09510967580400068,4.027634451161993,1.2657249751919886,1.0,0.0,4.0276344511616085,1.2812776310242586,1.2815768968193633,3.143451780971377,19276.707488652686,1965.6771159012187,4632.441516551485,4632.441516551485,5.592155145736232,4.9974277054812335,-2.368083363171923,7.365511068653157,3.4996145110313264,3.4996145110313264,0.9998898602946646,0.0,0.0,0.00023355610726774205,7.997260448675964e-05,0.00015358350278098243,0.0006185782069308186,0.09510993275791489,0.07131937513507652,0.023790557622838368,0.09510967627014548,0.07131918245496346,0.023790493349037205,0.37673394493370455,0.37673394493370455,0.1256700666326568,0.0,5.600291490760867,5.179854576379455,6.865157235815047,5.617745409990448,4.498608009793486,9.004188868960341,28108.96228332669,21010.164406430853,0.7474542924481272,1.0085750028846492,0.62244394985157,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514796699011794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,2.0,15418.235683178194,1534.0,0.37673394493370455,0.1256700666326568,6.275844827686256,3.4996145110313264
3.0,-29.99266581847946,4.996123241366428,34.99833988718983,24.735780979413562,5.744185334760125,-26.41897962092672,-39.88518359893931,2.170499137207436,0.5540849523109728,-5.065826125334302,39.98587030037267,41808.74000058265,25906.535693776692,25906.535693776692,67715.27569435934,76883.37660251674,76883.62305333243,25906.618737565026,102790.24179089745,102789.91229629343,-0.3294946040114155,130917.04530673032,91350.67395905149,56276.03735711765,38971.818446593155,28126.803515832864,0.0,67098.62196242603,21023.5000284926,1535.0,102790.24179089745,353746.95539109246,1549997.9212685293,4.381657276894146,1553924.086358422,4.392756072318554,0.7474542927232473,0.09515038886426991,4.027634451161993,1.2658275340450929,1.0,0.0,4.027634451162399,1.2815921902240488,1.2818915993541609,3.14268023938089,19278.82825681757,1965.8933740693888,4632.441516551485,4632.441516551485,5.592415058282748,4.996123241366428,-2.3705566183583713,7.366679859724799,3.499221894713531,3.499221894713531,0.999777684203866,0.0,0.0,0.0002336106178397903,7.988643770869983e-05,0.00015372418013109048,0.000619144803872612,0.09515038886395405,0.0713366271673353,0.023813761696618748,0.09515038886426984,0.07133662716757211,0.023813761696697796,0.3767357128194045,0.3767357128194045,0.12576280718518607,0.0,5.605305272597491,5.070670086908137,7.214084978020026,5.61991107764527,4.629961338002147,8.610049360951052,28126.803515832864,21023.5000284926,0.7474542924481272,1.0091902592616377,0.6230938695580777,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514647581869222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,4.0,15418.178328743801,1535.0,0.3767357128194045,0.12576280718518607,6.275844827686256,3.499221894713531
4.0,-29.99066437935448,4.994807362706802,34.99806536343084,24.66862859381365,5.667089277942515,-26.42488760268137,-39.89491495359687,2.1013125012706597,0.5538886702092896,-5.0682666925956115,39.98887737343749,41857.80646071158,25907.90543915511,25907.90543915511,67765.7118998667,76923.63817709063,76924.37242127111,25908.152732825143,102832.52515409623,102831.54361624573,-0.9815378505008994,130977.14363736488,91358.91725005358,56293.085533679696,38962.035240415426,28144.61848326865,0.0,67106.65372368408,21036.815900882822,1536.0,102832.52515409623,353713.2872364016,1550251.848205132,4.382792233555628,1554053.708336442,4.39354065683657,0.7474542926701508,0.09519059718637059,4.027634451161993,1.2659260926814753,1.0,0.0,4.027634451161692,1.2819142284822915,1.2822137752360208,3.1418907456316068,19280.567937376156,1966.070772116488,4632.441516551485,4632.441516551485,5.592710743694754,4.994807362706802,-2.3730995949034894,7.367906957610291,3.4988240942147004,3.4988240942147004,0.9996640269184859,0.0,0.0,0.00023365928326132365,7.979859408048717e-05,0.0001538606891808365,0.0006196946124242644,0.0951905971760662,0.07135281348838363,0.02383778368768258,0.09519059718636437,0.07135281349610757,0.023837783690263018,0.37673062317198747,0.37673062317198747,0.1258594113483938,0.0,5.609863246994507,5.010283447854192,7.413630030489628,5.622155362804904,4.764251504107506,8.208592391272532,28144.61848326865,21036.815900882822,0.7474542924481272,1.0098210555826004,0.6237504649399412,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514513253814199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,,,3.0,15417.991468963577,1536.0,0.37673062317198747,0.1258594113483938,6.275844827686256,3.4988240942147004
5.0,-29.845031440986034,4.7525261108928225,34.99791624455587,23.723572468757652,4.559061193612101,-26.404600423524418,-39.937426639348246,1.118630176152676,0.5536740684730717,-5.070910230891172,39.991892456783006,42664.983763998986,25289.434829239908,25289.434829239908,67954.4185932389,77583.90709878584,77584.1032632992,25289.498771491104,102873.6020347903,102873.34192802575,-0.26010676454461645,131035.93423920259,91511.84278563132,56592.919450853435,38798.80370530876,28162.332204412298,0.0,66961.13590972105,21050.056097672365,1537.0,102873.6020347903,353676.821889602,1550508.4983312178,4.383969777966392,1554183.683807668,4.394361144459721,0.7474542926659452,0.09522967345996708,4.027634451161993,1.2674443430686373,1.0,0.0,4.027634451161812,1.2864998494200464,1.2868050559426967,3.1306917392782045,19312.841647122477,1969.3617746246148,4632.441516551485,4632.441516551485,5.45920218072522,4.7525261108928225,-2.440324342041212,7.192850452934035,3.498420676221324,3.498420676221324,0.999548764634664,0.0,0.0,0.00023722554981267524,7.941589292068891e-05,0.00015780965689198633,0.0006355996108242177,0.09522967357233421,0.0713688362765388,0.023860837295795412,0.09522967345996698,0.07136883619232648,0.023860837267640597,0.3767229351113425,0.3767229351113425,0.12595027646879514,0.0,5.61408980573259,5.667321151418321,5.454944287013404,5.624584299364244,8.308454553762488,3.410605131648481e-13,28162.332204412298,21050.056097672365,0.7474542924481272,1.014833719142056,0.6371603943744496,42257.704602238395,25750.0,0.0,29534.315388437677,-29534.315388437677,0.5250887782235513,0.5250887782235513,23380.16411739786,6154.151271039817,29534.315388437677,0.26045659876939364,0.39779452895723577,1.4510876958249004,1.4514393356113378,1.2663711917097122,0.00023365928326132365,0.0034993463170495567,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,71792.01999067607,-3784.315388437677,,,,,,,,,,,,,,,,,8.0,15417.800377441003,1537.0,0.3767229351113425,0.12595027646879514,6.275844827686256,3.498420676221324
6.0,-29.618259989323388,4.3730613414177135,34.99768614855432,22.038853621948533,2.59272018407883,-26.397111312675435,-40.03904747134072,-0.62842849257106,0.5540735108832564,-5.066263937230369,39.98929275454756,44070.03748239516,24119.03848857546,24119.03848857546,68189.07597097062,78724.82490120671,78724.66480117754,24118.989438497923,102843.65423967547,102843.86338978217,0.2091501067043282,130989.40956028982,91765.17383028295,57110.38641146355,38505.31935424377,28145.755320614342,0.0,66651.07467485812,21037.665620917713,1536.0,102843.65423967547,353740.91549591767,1550241.3845385201,4.382420343898303,1554071.6142707462,4.393248126505402,0.7474542921756103,0.09520127288159899,4.027634451161993,1.2701149053359404,1.0,0.0,4.027634451163246,1.294735471911031,1.2950499519382856,3.1107778681750333,19366.305135570827,1974.8135332219288,4632.441516551485,4632.441516551485,5.206550023869557,4.3730613414177135,-2.58636893856536,6.959430279983073,3.4484206762213243,3.4484206762213243,0.9852630503489498,0.0,0.0,0.00024287869049388126,7.850794118277306e-05,0.0001643707493111082,0.0006620252926887308,0.09520127284345783,0.07135547163296418,0.023845801210493657,0.09520127288159902,0.07135547166155183,0.023845801220047168,0.37675665180580803,0.37675665180580803,0.125905750716699,0.0,5.613569109883997,7.463701171981029,0.16571892592435233,5.620337448113617,14.783673625162237,3.979039320256561e-13,28145.755320614342,21037.665620917713,0.7474542924481272,1.0230754163172204,0.6612052048279891,42257.704602238395,25750.0,0.0,47166.73384843761,-47166.73384843761,0.8486521128828688,0.8486521128828688,37402.111626996215,9764.622221441396,47166.73384843761,0.9576010624439377,0.6429182673355066,1.4501567666209216,1.4505674178681935,1.2675202985924143,0.00023722554981267524,0.0034403291087680807,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,89424.43845067601,-21416.73384843761,,,,,,,,,,,,,,,,,8.0,15416.95226224036,1536.0,0.37675665180580803,0.125905750716699,6.275844827686256,3.4484206762213243
7.0,-29.36556586468744,3.9483762908883064,34.9973082315144,20.230261037964397,0.48947337022091575,-26.379982935359973,-40.135929559450574,-2.4961095591065567,0.553897727975027,-5.06778063655311,39.984631451828065,45569.43290468247,22861.286605289046,22861.286605289046,68430.71950997152,79918.64245506041,79918.85665126918,22861.3478776126,102780.20452888179,102779.92906034946,-0.2754685323307058,130905.58513153346,92005.48209527152,57656.27254489334,38165.78838930909,28125.380602651665,0.0,66291.16899196076,21022.436461513786,1535.0,102780.20452888179,353719.9922843664,1549978.1402549404,4.3819353558304535,1553870.687306114,4.392939955898533,0.7474542925663302,0.09514037208091372,4.027634451161993,1.2729137443332004,1.0,0.0,4.027634451162654,1.303656451308021,1.3039815011703006,3.089490676106327,19417.02027065002,1979.9850377702908,4632.441516551485,4632.441516551485,4.935040523146768,3.9483762908883064,-2.74518846410163,6.693564754989937,3.3984206762213245,3.3984206762213245,0.9709773360632356,0.0,0.0,0.0002493240764504842,7.765127371115519e-05,0.00017167280273932905,0.0006914352946404586,0.0951403721489219,0.07136684823441274,0.02377352391450917,0.09514037208091371,0.07136684818339832,0.023773523897515393,0.37689305043006216,0.37689305043006216,0.12554955373930735,0.0,5.619301546740132,10.227842687231714,3.979039320256561e-13,5.6216783645281225,21.547743849261167,3.979039320256561e-13,28125.380602651665,21022.436461513786,0.7474542924481272,1.0322750458401213,0.6874133251475585,42257.704602238395,25750.0,0.0,53850.9194582398,-53850.9194582398,0.9874082642123821,0.9874082642123821,42815.68788158923,11035.231576650569,53850.9194582398,1.8827066312883987,0.7480365637972591,1.448942743941399,1.4492117046729482,1.2693227362382693,0.00024287869049388126,0.0033496750560206676,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96108.62406047819,-28100.919458239798,,,,,,,,,,,,,,,,,6.0,15414.91857675383,1535.0,0.37689305043006216,0.12554955373930735,6.275844827686256,3.3984206762213245
8.0,-29.113991661544855,3.5230934229932096,34.99685701832767,18.341533897351496,-1.7026667974636085,-26.372756653658957,-40.24727427223695,-4.4439018053462345,0.554265720062233,-5.06345906845504,39.98179258820205,47125.69837461276,21600.899495739664,21600.899495739664,68726.59787035242,81147.96744489993,81147.72213484267,21600.83419628659,102748.55633112925,102748.8669406396,0.31060951034305617,130857.100368438,92245.72347362115,58223.45440334721,37802.52118919327,28108.544037308748,0.0,65911.06522650202,21009.85189343385,1534.0,102748.55633112925,353779.6118566659,1549706.2775153327,4.380428452002478,1553748.3267897407,4.391853783307454,0.7474542923869435,0.09511026413854093,4.027634451161993,1.275845191064291,1.0,0.0,4.027634451162086,1.313092502482605,1.3134285364994405,3.067289199768581,19467.721289839657,1985.1551028985086,4632.441516551485,4632.441516551485,4.6629621590603385,3.5230934229932096,-2.8958826891494693,6.418976112142679,3.3484206762213247,3.3484206762213247,0.9566916217775213,0.0,0.0,0.0002558970695781055,7.667740008124232e-05,0.00017921966949686316,0.0007218313151914322,0.09511026412807241,0.07139978451040768,0.023710479617664725,0.09511026413854112,0.07139978451826645,0.02371047962027447,0.3771715030488387,0.3771715030488387,0.12525131968850525,0.0,5.625859470984665,13.800447761505893,3.410605131648481e-13,5.6177247885172505,28.48973863294526,3.410605131648481e-13,28108.544037308748,21009.85189343385,0.7474542924481272,1.0427171467214933,0.7149891784128548,42257.704602238395,25750.0,0.0,55183.04465167195,-55183.04465167195,1.0337904868546606,1.0337904868546606,44003.54518768995,11179.499463982003,55183.04465167195,2.896095363264365,0.7831746112535307,1.4476389558389766,1.4477038602013685,1.2713439092962913,0.0002493240764504842,0.003250745204632947,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,97440.74925391036,-29433.044651671953,,,,,,,,,,,,,,,,,5.0,15412.976436742014,1534.0,0.3771715030488387,0.12525131968850525,6.275844827686256,3.3484206762213247
9.0,-28.87355216495702,3.113491123982289,34.99641048231943,16.417932661157124,-3.929007036098527,-26.37897763145731,-40.372878837492294,-6.4235815695985865,0.5552382515504064,-5.052663090608467,39.98102308302982,48694.28917568615,20377.676837024745,20377.676837024745,69071.9660127109,82374.57165545863,82374.44105264689,20377.644528730594,102752.08558137748,102752.24849248337,0.16291110588645097,130847.72496457235,92473.8549815065,58793.57250173265,37422.53608863762,28095.639383194874,0.0,65518.175471832496,21000.20625703789,1533.0,102752.08558137748,353928.58567570645,1549426.8228738543,4.377795085174457,1553715.1608821237,4.389911478655595,0.7474542924835146,0.09511424041746927,4.027634451161993,1.2788209825055676,1.0,0.0,4.027634451162411,1.3228247813680025,1.3231718133407253,3.0447225572814,19515.866617836487,1990.0645600522594,4632.441516551485,4632.441516551485,4.398906443657477,3.113491123982289,-3.0337827839208646,6.147273907903154,3.298420676221325,3.298420676221325,0.9424059074918071,0.0,0.0,0.00026232794525047536,7.559236431300783e-05,0.00018673558093746753,0.000752102659041493,0.0951142404308607,0.07145803478975099,0.0236562056411097,0.09511424041746935,0.0714580347796902,0.023656205637779072,0.37761448841349066,0.37761448841349066,0.12500939911453024,0.0,5.633122100220874,18.010599461201537,3.979039320256561e-13,5.607901342158868,35.33849225949598,3.979039320256561e-13,28095.639383194874,21000.20625703789,0.7474542924481272,1.0542412928211995,0.7432180280511741,42257.704602238395,25750.0,0.0,54524.59904428573,-54524.59904428573,1.0440026636587008,1.0440026636587008,43604.80847930129,10919.790564984438,54524.59904428573,3.935729118311605,0.7909111088323489,1.4463281472641167,1.4462056632675424,1.2733721617813412,0.0002558970695781055,0.003154291624502508,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,96782.30364652412,-28774.59904428573,,,,,,,,,,,,,,,,,5.0,15410.741332746242,1533.0,0.37761448841349066,0.12500939911453024,6.275844827686256,3.298420676221325
