time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_useful_w,q_cascade_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,compressor_map_flow_kg_s,valve_opening,refrigerant_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_expansion_valve_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_superheat_to_expansion_valve_output,pid_B4_condensing_temperature_to_sink_flow_output
0.0,-30.0,5.0,35.0,24.082169879134767,5.0,-26.5,-40.00098207090048,1.5,0.4098651507561044,-5.0,40.0,42257.704602238395,25750.0,68007.7046022384,77250.0212908643,103000.0212908643,103000.0212908643,-36.66906342250877,131128.48783522024,91419.01130459177,56426.694615965884,38880.351876250985,28128.466544355942,21024.743054624294,1533.0,103036.69035428681,354655.9902153604,1550805.4073803194,4.372703267858558,1554533.227914083,4.383214356453171,0.7474542923081233,0.09539103345998717,4.027634451161993,1.2667487812088805,1.0,0.0,4.0276344511626,1.2847212910722052,1.2850212022149787,3.1350258450224655,19293.25030638875,1967.364013846599,0.0002334323654385558,7.88469140381082e-05,0.0001545854514004476,0.0006226136897088707,0.09509466929724426,0.09539103345998717,0.5022468948227622,5.409865150756104,28128.466544355942,21024.743054624294,0.7474542924481272,1.0149067869748363,0.6306290067225401,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2663465782672088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,1.0,812.0,812.0,0.0,4.027634451161993,15415.663181390977,36434.54574958496,42257.704602238395,42257.704602238395,6.27409032704403,4321.7045927464915,0.7474542924481272,18178.2683268144,0.5022468948227622,0.0,,,,
1.0,-29.999952947417235,5.00033239732103,34.99992188212021,24.09495284026491,5.014777537434633,-26.49847989226583,-39.99866576688362,1.5133044822832091,-0.1664691189519658,-4.984177242087324,39.997779127174084,42248.29399543562,25710.112321476514,67958.40631691214,77241.9468591219,102952.05918059841,102952.05918059841,-178.00049237217172,131087.38020797115,91416.90024675892,56423.24738307262,38881.83651520699,28135.321027372738,21029.866473156337,1533.0,103130.05967297059,354874.76977554255,1555787.007141471,4.38404513266892,1554437.4725310095,4.380242285226948,0.7474542925135443,0.09547804336979615,4.027634451161993,1.2667280839337036,1.0,0.0,4.027634451162364,1.2846590577862278,1.2849589558696577,3.135177716414939,19292.804784537228,1967.3185832610757,0.00023343350862077875,7.886758436195409e-05,0.00015456592425882465,0.0006225350415205373,0.09547804332782009,0.09547804336979623,0.5022717599752414,4.817708123135333,28135.321027372738,21029.866473156337,0.7474542924481272,1.014044892514792,0.6304101150305119,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2663465782672088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,13.0,15415.663181390977,1533.0,0.5022717599752414,6.27409032704403
2.0,-29.99991918313954,5.000577890710454,34.99993445733197,24.092151573300384,5.0113180782913425,-26.498795445546932,-39.999270835518814,1.5101943406987424,-0.16355177833014523,-4.987981640656172,39.9989676990146,42250.95166741074,25720.54079326906,67971.4924606798,77244.61145903352,102965.15225230258,102965.15225230258,-177.21858745987993,131109.71979499387,91418.15073189742,56424.49094027441,38881.84421291445,28144.56754269129,21036.777828053673,1533.594385394593,103142.37083976246,354822.15710011916,1555917.29787427,4.385062394610383,1554488.718563257,4.381036210556127,0.7474542927740455,0.09548958886833715,4.027634451161993,1.2667352573992683,1.0,0.0,4.027634451159418,1.2846736030549382,1.284973505587815,3.1351422194589564,19293.06868941256,1967.345494069082,0.0002334343289555899,7.886218434359926e-05,0.00015457214461199063,0.0006225600948292471,0.09548958889998643,0.09548958886833724,0.5022560011476497,4.824429862326042,28144.56754269129,21036.777828053673,0.7474542924481272,1.0141001238216367,0.6303627265840781,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2663450027027283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,9.0,15415.709893521984,1533.594385394593,0.5022560011476497,6.2729737215398895
3.0,-29.999881565585735,5.000842582054357,34.99991331019574,24.09301878595727,5.0123770011083835,-26.498655692137316,-39.99904595604164,1.5111511276599536,-0.17139554049947492,-4.9868222873559676,39.99868750276265,42250.181093369734,25718.237038731582,67968.41813210132,77243.83553950542,102962.07257823701,102962.07257823701,-179.16468332946533,131104.6645484328,91417.7883111776,56424.13386504178,38881.838273484245,28142.59197019579,21035.301164643457,1533.4585221573707,103141.23726156648,354838.1896504987,1555949.4760836302,4.38495494979325,1554476.637608294,4.380804217097913,0.7474542923025975,0.09548853001466129,4.027634451161993,1.266733167176135,1.0,0.0,4.027634451161607,1.2846691259846668,1.284969028646581,3.1351531454256065,19292.992203421698,1967.3376946685871,0.00023343524291248786,7.886419127154702e-05,0.00015457105164094084,0.0006225556927413928,0.0954885300343533,0.09548853001466143,0.5022436803431692,4.815426746856474,28142.59197019579,21035.301164643457,0.7474542924481272,1.0140842359269484,0.6303698657304685,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26634383906479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,15.0,15415.698077355177,1533.4585221573707,0.5022436803431692,6.27356513995741
4.0,-29.99984450598123,5.001099822394314,34.99990241162036,24.092982184980087,5.012305380306729,-26.498629495323097,-39.9990342213772,1.5110903696486087,-0.17565039540028238,-4.986912278267874,39.998777773789996,42250.29268116739,25719.13115920514,67969.42384037253,77243.9773973932,102963.10855659834,102963.10855659834,-180.20834616140928,131106.49884357225,91417.8862170338,56424.20150080821,38881.87190691732,28143.390286973907,21035.897865932842,1533.503629514743,103143.31690275975,354836.9451571914,1555997.9923333682,4.385107057113421,1554480.5297304655,4.380830550330199,0.747454292160005,0.0954904858759655,4.027634451161993,1.2667334737861533,1.0,0.0,4.027634451161444,1.2846694083082593,1.284969312192863,3.1351524564330195,19293.01286566868,1967.3398016314113,0.00023343614331666236,7.886429599838945e-05,0.0001545718473182729,0.0006225588974388275,0.09549048585758854,0.09549048587596551,0.5022331604638213,4.811261882867598,28143.390286973907,21035.897865932842,0.7474542924481272,1.0140866535329625,0.6303637061343438,42257.704602238395,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2663425844301262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.704602238395,25750.0,,,,,,,,,,,,,,,9.0,15415.70289763053,1533.503629514743,0.5022331604638213,6.273421396005776
5.0,-29.99964350986373,5.1364522209124495,35.00028856566135,24.137520125973992,5.063790611253895,-26.493300047172365,-39.99092542855067,1.5574471485625332,-0.6902484466431247,-4.931786476919247,40.01009078402636,42217.50538787413,25925.714646916615,68143.22003479075,77215.85352519581,103141.56817211243,103141.56817211243,-308.7453090137569,131316.02365203676,91410.52389772823,56412.17576040645,38887.053485913086,28174.45547992433,21059.117683705266,1533.5034992116339,103450.31348112618,355599.9272100165,1560486.7418249836,4.388321319602981,1554968.35935106,4.37280280553235,0.7474542923717163,0.09578500196555838,4.027634451161993,1.266661326470785,1.0,0.0,4.0276344511634985,1.284452610744646,1.284752470291152,3.1356816261419103,19291.459107132338,1967.1813623543553,0.0002334410267958882,7.893669424113664e-05,0.00015450433255475156,0.0006222869726513068,0.095785001980383,0.09578500196555852,0.5022243688430922,4.241538030276104,28174.45547992433,21059.117683705266,0.7474542924481272,1.0161301331514085,0.6295340805614833,42257.704602238395,25750.0,0.0,0.0,16418.002469092797,0.2378081503951876,0.2378081503951876,6885.13794929143,9532.864519801367,16418.002469092797,0.1130963160554245,0.06605781955421879,1.2662697671152914,1.2663413651146689,1.1523885827651905,0.0035008910291939948,0.017415074648680477,1.0,1.0,10.0,42257.704602238395,42168.0024690928,,,,,,,,,,,,,,,15.0,15415.703456965406,1533.5034992116339,0.5022243688430922,6.273463136446643
6.0,-29.999147086671922,5.401795590416391,35.00128246277464,24.22046373775231,5.158935955244962,-26.483338661137577,-39.97617313927037,1.6431275297106145,-1.6812608386946977,-4.830247171875708,40.03442816227728,42158.41995980435,26347.510112902157,68505.93007270651,77166.45912767983,103513.969240582,103513.969240582,-559.7959081552108,131764.79549197038,91399.4466653688,56391.407497493434,38897.8212976393,28250.826251388393,21116.201346833084,1534.5034992116339,104073.7651487372,357008.6757376077,1569516.98677576,4.39629928749775,1556018.2064314282,4.3584884967195086,0.7474542924490686,0.09638288109232765,4.027634451161993,1.2665359279187394,1.0,0.0,4.027634451160893,1.2840520940699764,1.2843518756032393,3.136659696099916,19289.121345942815,1966.9429770556526,0.00023345308848861143,7.906856562726514e-05,0.0001543845228613463,0.0006218044230025646,0.09638288111983505,0.09638288109232765,0.5021826464740402,3.1489863331810284,28250.826251388393,21116.201346833084,0.7474542924481272,1.0202131029174908,0.6278372163642304,42257.704602238395,25750.0,0.0,0.0,32438.714453375153,0.47158927610640444,0.47158927610640444,13579.757904514361,18858.95654886079,32438.714453375153,0.46236866178235103,0.1309970211406679,1.2660498974174477,1.265700003196898,1.1523885827651905,0.003534265480624244,0.017415074648680477,1.0,1.0,10.0,42257.704602238395,58188.714453375156,,,,,,,,,,,,,,,11.0,15415.867308928995,1534.5034992116339,0.5021826464740402,6.2791476715204535
7.0,-29.998212387528834,5.788674529551588,35.00295048575562,24.344533401913964,5.301028079760678,-26.46828808544636,-39.95408203974364,1.7711037776782148,-3.1216217379862314,-4.6787110830174985,40.06915752055017,42070.764806042826,26953.517952365393,69024.28275840823,77093.50240595527,104047.02035832066,104047.02035832066,-933.3425866666366,132402.11435123894,91383.63560753566,56360.8980076232,38914.15288879163,28355.093992918275,21194.13672096952,1535.5034992116339,104980.3629449873,359119.21564451826,1582815.76903883,4.407493946538393,1557517.2622744746,4.337047961856254,0.7474542925607225,0.09725283812963342,4.027634451161993,1.266351159117185,1.0,0.0,4.027634451161531,1.2834543187540925,1.2837539898790937,3.13812061115802,19285.784548792744,1966.602718440318,0.0002334758006173477,7.926641985792718e-05,0.0001542093807594205,0.0006210990146389994,0.09725283814512459,0.0972528381296334,0.5020824814678617,1.5570893450312724,28355.093992918275,21194.13672096952,0.7474542924481272,1.0260897209059658,0.6254085894557802,42257.704602238395,25750.0,0.0,0.0,47628.99064858904,0.6974746371848898,0.6974746371848898,19869.952752369463,27759.037896219575,47628.99064858904,1.0419249411638332,0.1937429547735805,1.2656891065963913,1.2644438742021953,1.1523885827651905,0.0036005153615240974,0.017415074648680477,1.0,1.0,10.0,42257.704602238395,73378.99064858904,,,,,,,,,,,,,,,14.0,15416.16648953654,1535.5034992116339,0.5020824814678617,6.2914119944300175
8.0,-29.99671143331808,6.285664795750621,35.00537233972514,24.506116134021454,5.485813826025371,-26.448458435152343,-39.92523680264128,1.9375608278596197,-4.481766903088044,-4.481766903088347,40.11338817265131,41957.516156233185,27726.13662451034,69683.65278074352,76999.57522514119,104725.71184965153,104725.71184965153,-1422.703871044272,133210.0510424704,91363.90914848095,56321.85007957283,38935.62118767568,28484.33919281888,21290.74160246191,1536.5034992116339,106148.4157206958,361876.7962563035,1600124.6447932802,4.421738728061396,1559428.011243134,4.309278813606636,0.7474542926321236,0.09837442016193895,4.027634451161993,1.266113861645572,1.0,0.0,4.02763445116202,1.2826776180361363,1.2829771545999304,3.140020839631213,19281.62143756708,1966.178199238994,0.0002335122763610132,7.952545509987846e-05,0.00015398682126113475,0.0006202026263362704,0.09837442017387157,0.09837442016193898,0.50190454036986,2.8421709430404007e-13,28484.33919281888,21290.74160246191,0.7474542924481272,1.0335759971894594,0.6223307744389007,42257.704602238395,25750.0,0.0,0.0,61614.96856839424,0.9120615054181536,0.9120615054181536,25574.532334764062,36040.43623363017,61614.96856839424,1.842210813274289,0.25335041817170934,1.26519903548517,1.2626151943973372,1.1523885827651905,0.0036990910454761257,0.017415074648680477,1.0,1.0,10.0,42257.704602238395,87364.96856839424,,,,,,,,,,,,,,,16.0,15416.616128198933,1536.5034992116339,0.50190454036986,6.308968777790213
9.0,-29.994527545473684,6.8791081134461525,35.00859006406516,24.70202789353209,5.709651471945922,-26.42410885290601,-39.890059910807736,2.1392327793782218,-4.243296305355273,-4.243296305355632,40.165770531821664,41820.9270182442,28640.191378414598,70461.1183966588,76886.53090073931,105526.72227915391,105526.72227915391,-2034.628151100129,134162.440926998,91340.59925789516,56274.995375400045,38961.78209166123,28635.7186478441,21403.890811295827,1537.5034992116339,107561.35043025404,365238.02301223594,1621170.3274961472,4.438668006484735,1561693.201869607,4.275823171393325,0.7474542921208392,0.0997318520885504,4.027634451161993,1.2658285214612262,1.0,0.0,4.0276344511626325,1.281737842080134,1.2820372272234808,3.1423231170467276,19276.702071810785,1965.6765635370678,0.0002335653579318969,7.98424087299714e-05,0.00015372294920192552,0.0006191398461399002,0.09973185202221442,0.09973185208855057,0.5016654287974234,3.410605131648481e-13,28635.7186478441,21403.890811295827,0.7474542924481272,1.0423627741532744,0.6186756397903806,42257.704602238395,25750.0,0.0,0.0,74103.38950187838,1.1125773306759104,1.1125773306759104,30556.68025272047,43546.7092491579,74103.38950187838,2.8505587971991333,0.3090492585210862,1.2645946862816222,1.2602708400541898,1.1523885827651905,0.0038292445402543437,0.017415074648680477,1.0,1.0,10.0,42257.704602238395,99853.38950187838,,,,,,,,,,,,,,,12.0,15417.205657152357,1537.5034992116339,0.5016654287974234,6.331399070987038
