time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,refrigerant_q_condenser_stage_w,refrigerant_q_subcooler_w,refrigerant_q_oil_cooling_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,low_pressure_receiver_enabled,refrigerant_evaporators_series,refrigerant_evaporator_outlet_c,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_low_pressure_pa,air_high_pressure_pa,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_actual_head_j_kg,air_compressor_actual_head_m,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,air_compressor_eta_is_target,air_compressor_eta_is_effective,regenerator_ua_w_k,regenerator_ua_ref_w_k,regenerator_air_flow_ratio,regenerator_ua_flow_exponent,cascade_ua_w_k,cascade_ua_ref_w_k,cascade_air_flow_ratio,cascade_ua_flow_exponent,condenser_ua_w_k,condenser_ua_ref_w_k,condenser_sink_flow_ratio,condenser_ua_flow_exponent,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_air_m_dot_nominal_kg_s,dock_air_flow_ratio,dock_evaporator_ua_flow_exponent,humidity_ratio_room_kg_kg_da,room_relative_humidity,room_saturation_humidity_ratio_kg_kg_da,room_dry_air_mass_kg,room_moisture_infiltration_dry_air_mass_flow_kg_s,room_moisture_deposition_rate_kg_s,room_moisture_deposition_load_w,room_moisture_cumulative_deposited_water_kg,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,receiver_enabled,receiver_mass_kg,receiver_volume_m3,receiver_liquid_mass_kg,receiver_vapor_mass_kg,receiver_liquid_volume_m3,receiver_liquid_fill_fraction,receiver_liquid_fill_fraction_raw,receiver_overfill_mass_kg,receiver_liquid_feed_fraction,receiver_starvation_flow_multiplier,receiver_outlet_enthalpy_j_kg,receiver_outlet_density_kg_m3,receiver_inlet_m_dot_kg_s,receiver_outlet_m_dot_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_flow_coefficient_m2,startup_solved_vcc_cycle_expansion_valves_cascade_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_subcooling_to_cascade_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.080207046959572,5.0,-26.5,-39.99988246997816,1.5,-4.99999999999244,-5.0,40.0,42257.45940475719,25750.0,25750.0,68007.45940475719,77249.97054748026,77249.97054748026,25750.0,102999.97054748026,102999.97054748026,102999.97054748026,129064.73565414107,124560.03259391825,4504.703060222819,0.0,91420.4088757777,56427.897733054655,38880.567936358944,26064.76510666081,64945.33304301975,19890.67188060731,1450.0,0.0,0.8869186971918838,2.884698101094473,0.0014947054983599872,1.0,1.0,-5.000000083633779,354655.99021540873,1554533.227913749,4.3832143564516315,1554533.227913749,4.3832143564516315,0.7631249235975,0.09241799940247608,4.028046144702076,101325.0,128350.76405519308,1.2667235534684735,1.0,0.0,4.028046144704595,1.2847212910722052,1.2850212022149787,3.1353462986048446,22695.96861396914,2314.344716490253,19291.56982474675,1967.1926524090034,0.85,0.8499998459141763,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4632.441516551485,4632.441516551485,5.558623872097796,5.0,-2.320540156361051,7.3205401563610515,3.5,3.5,1.0,0.6,0.0002334323654385558,1.0,0.0002334323654385558,198.92221095423284,0.0,0.0,0.0,0.0,7.885672607504562e-05,0.00015457563936351016,0.0006226378082030456,0.09241799940247608,0.09241799940247608,0.09241799940247608,0.09241799940247607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487378.55335087446,595.7628554101648,0.0,0.09241799940247608,0.09241799940247608,0.09241799940247608,0.375,0.375,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26064.76510666081,19890.67188060731,0.7631249235975,1.0471492903071125,0.6506619863934776,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.45940475719,25750.0,1.0,813.0,813.0,0.0,4.028046144702076,16522.262687969924,36438.26998705061,42257.45940475719,42257.45940475719,6.17534620354742,4321.873072599273,0.0014947054983599872,17892.171525676506,4632.441516551485,6.517862268040517e-06,0.375,0.0,,,,,
1.0,-30.000045133378883,4.999729844463643,35.00011331514261,24.069340468291216,4.987794950342188,-26.501270725230025,-40.00163655783979,1.4890174393060582,-5.012859928088574,-5.012859928078027,40.003269500158346,42264.54557562564,25782.418664294797,25782.418664294797,68046.96423992043,77255.38967019592,77255.38967019592,25782.418664294797,103037.80833449072,103037.80833449072,103037.80833449072,129124.31822597614,124619.00370184319,4505.314524132954,0.0,91420.878511502,56430.03440680915,38878.71567188094,26086.50989148541,64965.22556336635,19902.085215988187,1451.0,0.0,0.886841449356676,2.8833319345990462,0.0014947054983599872,1.0,1.0,-4.899721708627112,354478.2553662392,1554674.204135841,4.385809793973358,1554674.204135841,4.385809793973358,0.7629263285421019,0.09242988640818518,4.028046144702076,101325.0,128352.09309921683,1.2667366701131688,1.0,0.0,4.028046144703183,1.2847726658902683,1.2850725890262114,3.1352209240152913,22696.08520541507,2314.356605509024,19291.676572355263,1967.203537635713,0.85,0.8500001827518894,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4632.441516551485,4632.441516551485,5.565622053117236,4.999729844463643,-2.3300267054424824,7.329756549906126,3.5,3.5,1.0,0.6,0.0002334323654385558,1.0000046975227648,0.00023343126888985616,198.92224822866638,0.0,0.0,0.0,0.0,7.884107440968349e-05,0.00015459129102887232,0.0006227008538333658,0.092429886417724,0.092429886417724,0.092429886417724,0.09242988639975984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487394.3602249018,595.7578769905095,0.0,0.092429886417724,0.09242988640818518,0.09242988640818518,0.375,0.375,0.5,9.999999999056186,0.0,0.0,0.0,0.0,0.0,0.0,26086.50989148541,19902.085215988187,0.7629263285421019,1.0474367425007736,0.6505718283761099,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42257.45940475719,25750.0,,,,,,,,,,,,,,,,,7.0,16522.262687969924,1451.0,0.375,6.17534620354742,3.5
2.0,-30.000111970203683,4.999199381050107,35.00033204393927,24.058469070028536,4.975607778544687,-26.502540554983455,-40.003387223090954,1.47803177295556,-5.025709664593535,-5.025709664591396,40.00653774293238,42271.52337449459,25813.65560963811,25813.65560963811,68085.1789841327,77260.71675833265,77260.71675833265,25813.65560963811,103074.37236797076,103074.37236797076,103074.37236797076,129182.6710916676,124676.74566044193,4505.925431225674,0.0,91421.34103980802,56432.14765956306,38876.881533605505,26108.298723696837,64985.180257302345,19913.493431547624,1452.0,0.0,0.8867642145706999,2.8819673612397096,0.0014947054983599872,1.0,1.0,-4.804592764144616,354300.7311982047,1554815.1357949877,4.388405100200556,1554815.1357949877,4.388405100200556,0.7627265813943448,0.09244176201707388,4.028046144702076,101325.0,128353.41356912219,1.2667497021378948,1.0,0.0,4.028046144699783,1.2848240616113291,1.285123995336376,3.135095508446818,22696.20003237817,2314.36831460062,19291.76842932994,1967.2129044403482,0.85,0.8499999295833002,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4632.376796870149,4632.441516551485,5.572442990190053,4.999199381050107,-2.339608491111469,7.338807872161576,3.499918503079866,3.5,0.999976715165676,0.6,0.00023343126888985616,1.0000069564480187,0.00023342964504866433,198.92230342740987,0.0,2.1812793262333602e-07,0.6181745610545343,2.1812793262333602e-07,7.882545614779162e-05,0.00015460581274206455,0.0006227593479642042,0.09244176201433633,0.09244176201433633,0.09244176201433633,0.09244176202602845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487410.1611112082,595.7529004145943,0.0,0.09244176201433633,0.09244176201707388,0.09244176201707388,0.37499999999621575,0.37499999999621575,0.5,9.999999999246908,0.0,0.0,0.0,0.0,0.0,0.0,26108.298723696837,19913.493431547624,0.7627265813943448,1.0477031642376957,0.6504794355747681,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514955333511153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42258.07757931824,25750.0,,,,,,,,,,,,,,,,,5.0,16522.2617837979,1452.0,0.37499999999621575,6.17534620354742,3.499918503079866
3.0,-30.00021267978706,4.998418156966533,35.0006488921913,24.04768697395923,4.9635132398639845,-26.503843536502476,-40.00516561847178,1.4671371784323097,-5.038548512949262,-5.03854851293756,40.009806427945,42278.46969717895,25843.74689002739,25843.74689002739,68122.21658720635,77266.03012882706,77266.03012882706,25843.74689002739,103109.77701885445,103109.77701885445,103109.77701885445,129239.90960449648,124733.37369842637,4506.535906070111,0.0,91421.79615786606,56434.23572578361,38875.06714675828,26130.13258564203,65005.19973240031,19924.897327333354,1453.0,0.0,0.8866869902917744,2.88060445359186,0.0014947054983599872,1.0,1.0,-4.7141551588075,354123.4271438358,1554956.0961821538,4.391000360308189,1554956.0961821538,4.391000360308189,0.7625256879975295,0.0924536284553329,4.028046144702076,101325.0,128354.72195731533,1.2667626149253919,1.0,0.0,4.02804614470223,1.2848750364275354,1.2851749799657761,3.1349711298786294,22696.31301967814,2314.379836098784,19291.867580617458,1967.2230150578903,0.85,0.8500000667020692,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4632.2493573277825,4632.441516551485,5.579092336457451,4.998418156966533,-2.3492815458967473,7.347699702863281,3.4997580296908883,3.5,0.9999308656259681,0.6,0.00023342964504866433,1.000010481986544,0.00023342719826791307,198.92238660080852,0.0,3.2301823027875127e-07,0.9154336646099811,5.411461629020873e-07,7.880959342494738e-05,0.00015462005162371697,0.0006228167028365492,0.09245362845567091,0.09245362845567091,0.09245362845567091,0.09245362845440615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487425.9642333699,595.7479230923095,0.0,0.09245362845567091,0.0924536284553329,0.0924536284553329,0.37499999999394407,0.37499999999394407,0.5,9.999999999226876,0.0,0.0,0.0,0.0,0.0,0.0,26130.13258564203,19924.897327333354,0.7625256879975295,1.047950269634391,0.6503859671414293,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514959337686446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42258.3748384218,25750.0,,,,,,,,,,,,,,,,,5.0,16522.26044332906,1453.0,0.37499999999394407,6.17534620354742,3.4997580296908883
4.0,-30.000347628776215,4.997395416014977,35.00105708406108,24.03680282821881,4.951308270203475,-26.50518941833476,-40.00698843793941,1.4561407821518455,-5.051376336849614,-5.0513763368473645,40.0130759068273,42285.45210281541,25872.728914041883,25872.728914041883,68158.1810168573,77271.3773485056,77271.3773485056,25872.728914041883,103144.10626254749,103144.10626254749,103144.10626254749,129296.11802977878,124788.9720551606,4507.145974618173,0.0,91422.25016648346,56436.32488974494,38873.250307487244,26152.011767231295,65025.26207471854,19936.297073652833,1454.0,0.0,0.8866097760063542,2.8792432246817317,0.0014947054983599872,1.0,1.0,-4.628069931901223,353946.34488826233,1555097.100466248,4.393595591323815,1555097.100466248,4.393595591323815,0.762323650321739,0.09246548620100162,4.028046144702076,101325.0,128356.04654725164,1.2667756876116618,1.0,0.0,4.028046144703969,1.2849264933346718,1.2852264457410083,3.1348455850173926,22696.425731549127,2314.3913295110083,19291.961187794022,1967.2325603334496,0.85,0.8499999698620945,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4632.0611372096055,4632.441516551485,5.58557586949896,4.997395416014977,-2.3590424158994625,7.356437831914439,3.4995210260607603,3.5,0.9998631503030744,0.6,0.00023342719826791307,1.000014045707722,0.00023342391966376215,198.92249805172895,0.0,4.867194665298603e-07,1.379362968145624,1.0278656294319475e-06,7.879333751602221e-05,0.00015463386075189087,0.0006228723266420516,0.09246548622233165,0.09246548622233165,0.09246548622233165,0.09246548616252821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487441.7713000649,595.74294448538,0.0,0.09246548622233165,0.09246548620100162,0.09246548620100162,0.37499999999203926,0.37499999999203926,0.5,9.999999997215568,0.0,0.0,0.0,0.0,0.0,0.0,26152.011767231295,19936.297073652833,0.762323650321739,1.0481800279180546,0.6502926824689532,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451496537117312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42258.838767725334,25750.0,,,,,,,,,,,,,,,,,4.0,16522.25842204807,1454.0,0.37499999999203926,6.17534620354742,3.4995210260607603
5.0,-30.000509681837652,4.996140023680407,35.00155000061428,24.026027682144218,4.939236836718365,-26.50653989541977,-40.008812270220346,1.4452559183563936,-5.064196996519399,-5.064196996505935,40.01633714058074,42292.321356335735,25900.647080144616,25900.647080144616,68192.96843648035,77276.62520736472,77276.62520736472,25900.647080144616,103177.27228750933,103177.27228750933,103177.27228750933,129351.20401001611,124843.4490361084,4507.754973907706,0.0,91422.69387881734,56438.39002648119,38871.44872481795,26173.931722506786,65045.38044732474,19947.688418129314,1455.0,0.0,0.8865325848758407,2.8778832636600904,0.0014947054983599872,1.0,1.0,-4.546670377366979,353769.4309761102,1555237.7587861167,4.396190350576505,1555237.7587861167,4.396190350576505,0.7621204421870036,0.09247732343708627,4.028046144702076,101325.0,128357.35287542932,1.2667885800683871,1.0,0.0,4.028046144703094,1.2849774341609306,1.285277394245709,3.134721309197406,22696.535887271766,2314.402562268641,19292.059485923568,1967.24258395309,0.85,0.8500001754339335,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4631.814014327355,4632.441516551485,5.591901358739246,4.996140023680407,-2.368890697515226,7.365030721195634,3.499209862801985,3.5,0.9997742465148528,0.6,0.00023342391966376215,1.0000168667874485,0.00023341998261852912,198.9226318873553,0.0,6.521881278235257e-07,1.8483011542518717,1.6800537572554733e-06,7.87770756773401e-05,0.00015464684398642207,0.0006229246237098509,0.09247732343795735,0.09247732343795735,0.09247732343795735,0.09247732343470262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487457.5385907778,595.7379783643921,0.0,0.09247732343795735,0.09247732343708627,0.09247732343708627,0.37499999998244365,0.37499999998244365,0.5,9.999999997163217,0.0,0.0,0.0,0.0,0.0,0.0,26173.931722506786,19947.688418129314,0.7621204421870036,1.0483906461536436,0.6501971556701869,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451497345594179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42259.30770591144,25750.0,,,,,,,,,,,,,,,,,5.0,16522.255711480662,1455.0,0.37499999998244365,6.17534620354742,3.499209862801985
6.0,-30.00070664146827,4.9946606177742146,35.00212170757223,24.01512397862973,4.927022247650886,-26.507940105263017,-40.010688978340454,1.4342421856003233,-5.07700774222161,-5.077007742226978,40.01959663450637,42299.259056862036,25927.528708791335,25927.528708791335,68226.78776565337,77281.93203394693,77281.93203394693,25927.528708791335,103209.46074273826,103209.46074273826,103209.46074273826,129405.35665936177,124896.99327635765,4508.363383004124,0.0,91423.1386995056,56440.46573585392,38869.63662627964,26195.895916623518,65065.53254290315,19959.07442418037,1456.0,0.0,0.8864554074037799,2.876524861054317,0.0014947054983599872,1.0,1.0,-4.469220255421533,353592.7231938037,1555378.3516751754,4.398784956959294,1555378.3516751754,4.398784956959294,0.76191608363792,0.09248914869434752,4.028046144702076,101325.0,128358.67401344785,1.2668016186868774,1.0,0.0,4.0280461447014435,1.285028983480421,1.2853289505391894,3.134595558920674,22696.646318153704,2314.4138230847134,19292.152492183814,1967.252067952238,0.85,0.8500001375424863,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4631.50978682248,4632.441516551485,5.598072745643344,4.9946606177742146,-2.3788212423692703,7.373481860143485,3.4988268118077483,3.5,0.9996648033736424,0.6,0.00023341998261852912,1.0000204999962043,0.00023341519760786413,198.92279455167005,0.0,7.831673996158067e-07,2.219496410511196,2.4632211568712798e-06,7.876034562079584e-05,0.00015465963699773329,0.0006229761545497421,0.09248914868579032,0.09248914868579032,0.09248914868579032,0.0924891487120782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487473.29756261525,595.7330148216366,0.0,0.09248914868579032,0.09248914869434752,0.09248914869434752,0.3749999999745307,0.3749999999745307,0.5,9.999999997834852,0.0,0.0,0.0,0.0,0.0,0.0,26195.895916623518,19959.07442418037,0.76191608363792,1.0485857119614865,0.6501024029730426,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514983164521715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42259.6789011677,25750.0,,,,,,,,,,,,,,,,,5.0,16522.252453430036,1456.0,0.3749999999745307,6.17534620354742,3.4988268118077483
7.0,-30.000935315395484,4.992965457072685,35.002766298818294,24.004419065918796,4.915035869734414,-26.50934587549056,-40.01255933018399,1.4234307232208232,-5.089813342165883,-5.08981334216769,40.022843321167535,42306.03289812232,25953.41928420099,25953.41928420099,68259.45218232331,77287.11956129436,77287.11956129436,25953.41928420099,103240.53884549535,103240.53884549535,103240.53884549535,129458.43760183129,124949.46721704186,4508.970384789429,0.0,91423.56922517139,56442.48256479462,38867.8740670853,26217.89875633594,65085.77282342124,19970.449866003095,1457.0,0.0,0.8863782594884015,2.875167510229613,0.0014947054983599872,1.0,1.0,-4.396229802306266,353416.1556290153,1555518.4016915006,4.401378875628835,1555518.4016915006,4.401378875628835,0.7617105417792851,0.09250094744979033,4.028046144702076,101325.0,128359.96981884388,1.2668144072918222,1.0,0.0,4.028046144704227,1.285079592004857,1.2853795647278417,3.134472113449337,22696.75320016308,2314.424722016497,19292.244357806052,1967.2614356386791,0.85,0.8500001823021733,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4631.150208896654,4632.441516551485,5.604097926761968,4.992965457072685,-2.3888345228601215,7.381799979932807,3.4983740910655143,3.5,0.9995354545901469,0.6,0.00023341519760786413,1.0000238009714757,0.00023340964223162721,198.92298340836894,0.0,9.518476934389107e-07,2.697536363205873,3.4150688503101902e-06,7.874367549585646e-05,0.00015467152211200765,0.0006230240283384743,0.09250094744635994,0.09250094744635994,0.09250094744635994,0.09250094746088111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487488.9947117423,595.7280707092295,0.0,0.09250094744635994,0.09250094744979033,0.09250094744979033,0.3749999999708663,0.3749999999708663,0.5,9.999999998077183,0.0,0.0,0.0,0.0,0.0,0.0,26217.89875633594,19970.449866003095,0.7617105417792851,1.0487614915092476,0.6500043106640107,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514994964366812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42260.1569411204,25750.0,,,,,,,,,,,,,,,,,5.0,16522.248490682712,1457.0,0.3749999999708663,6.17534620354742,3.4983740910655143
8.0,-30.00119708499728,4.991062606663105,35.00347855940456,23.99353851741182,4.902857997608638,-26.51080007862545,-40.01448619002474,1.412443010843944,-5.102610312009688,-5.102610311996141,40.026085323882825,42312.898098929756,25978.34204914776,25978.34204914776,68291.24014807752,77292.37120999298,77292.37120999298,25978.34204914776,103270.71325914074,103270.71325914074,103270.71325914074,129510.65781399937,125001.08123336828,4509.576580631087,0.0,91424.00213293912,56444.5290209878,38866.081235501464,26239.944554858626,65106.02579036009,19981.81858238321,1458.0,0.0,0.8863011295095614,2.8738115795597072,0.0014947054983599872,1.0,1.0,-4.3268809885883,353239.7761944811,1555658.2591697485,4.403972496894741,1555658.2591697485,4.403972496894741,0.7615038416185733,0.09251273040446738,4.028046144702076,101325.0,128361.28065678512,1.2668273442564533,1.0,0.0,4.028046144700845,1.2851310310703694,1.2854310086608807,3.1343466520664176,22696.86067355146,2314.4356812521564,19292.33361884265,1967.2705377313,0.85,0.8500000901588964,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4630.736954373076,4632.441516551485,5.609980075550371,4.991062606663105,-2.398925056268357,7.389987662931462,3.4978538186168433,3.5,0.9993868053190981,0.6,0.00023340964223162721,1.0000272457561974,0.00023340328298268338,198.92319959843599,0.0,1.1050920150026728e-06,3.1318307705175745,4.520160865312863e-06,7.872650513611609e-05,0.00015468313709551113,0.0006230708140279963,0.0925127304045574,0.0925127304045574,0.0925127304045574,0.09251273040523218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487504.6693114073,595.7231336576682,0.0,0.0925127304045574,0.09251273040446738,0.09251273040446738,0.3749999999688858,0.3749999999688858,0.5,9.999999998051276,0.0,0.0,0.0,0.0,0.0,0.0,26239.944554858626,19981.81858238321,0.7615038416185733,1.0489234954683573,0.6499075559484512,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451500866423737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42260.5912355277,25750.0,,,,,,,,,,,,,,,,,5.0,16522.243886026987,1458.0,0.3749999999688858,6.17534620354742,3.4978538186168433
9.0,-30.00149054498064,4.9889598105685256,35.004253407354334,23.98269062340262,4.890721636055846,-26.51227871370839,-40.01643204884601,1.401489648474095,-5.115401494350522,-5.11540149435207,40.02931604146643,42319.705046341165,26002.335531348737,26002.335531348737,68322.0405776899,77297.58704200604,77297.58704200604,26002.335531348737,103299.92257335478,103299.92257335478,103299.92257335478,129561.95260668996,125051.77112278863,4510.181483901331,0.0,91424.4281940639,56446.546198585136,38864.31332830974,26262.030033335173,65126.34336164492,19993.177455302837,1459.0,0.0,0.8862240269923091,2.87245676685907,0.0014947054983599872,1.0,1.0,-4.261405758532419,353063.5455754257,1555797.6392699785,4.406565500083922,1555797.6392699785,4.406565500083922,0.761295963408956,0.09252448890375335,4.028046144702076,101325.0,128362.590102824,1.266840267484076,1.0,0.0,4.0280461447061,1.2851823151203674,1.2854822965084738,3.134221578768626,22696.96644719692,2314.4464671622745,19292.424271201155,1967.2797816992709,0.85,0.8500001229716658,36438.26998705061,36438.26998705061,1.0,0.8,4321.873072599273,4321.873072599273,1.0,0.8,17892.171525676506,17892.171525676506,1.0,0.8,4630.271660721166,4632.441516551485,5.615725693144075,4.9889598105685256,-2.4090920905402493,7.398051901108775,3.4972680678384074,3.5,0.9992194479538307,0.6,0.00023340328298268338,1.0000305443049085,0.00023339615405938932,198.9234419614225,0.0,1.2650021469513661e-06,3.5850160844601717,5.785163012264229e-06,7.870916898813136e-05,0.000154694113994552,0.0006231150294838586,0.09252448890366767,0.09252448890366767,0.09252448890366767,0.09252448890487723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,487520.28944380156,595.7182137204694,0.0,0.09252448890366767,0.09252448890375335,0.09252448890375335,0.3749999999671792,0.3749999999671792,0.5,9.999999998040428,0.0,0.0,0.0,0.0,0.0,0.0,26262.030033335173,19993.177455302837,0.761295963408956,1.0490691946007065,0.649809322340438,42257.45940475719,25750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515024346902365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42261.044420841645,25750.0,,,,,,,,,,,,,,,,,6.0,16522.238610732114,1459.0,0.3749999999671792,6.17534620354742,3.4972680678384074
